CPU %,MEM USAGE / LIMIT,MEM %,NET I/O,BLOCK I/O,PIDS
1.96%,269MiB / 1.941GiB,13.53%,1.37MB / 3.61MB,411MB / 24.6kB,54
1.50%,269MiB / 1.941GiB,13.54%,1.37MB / 3.62MB,411MB / 24.6kB,54
3.81%,257.7MiB / 1.941GiB,12.97%,1.38MB / 3.65MB,411MB / 24.6kB,54
3.46%,257.7MiB / 1.941GiB,12.97%,1.39MB / 3.68MB,411MB / 24.6kB,54
3.34%,257.7MiB / 1.941GiB,12.97%,1.4MB / 3.7MB,411MB / 24.6kB,54
2.54%,257.7MiB / 1.941GiB,12.97%,1.41MB / 3.72MB,411MB / 24.6kB,54
3.42%,257.7MiB / 1.941GiB,12.97%,1.41MB / 3.74MB,411MB / 24.6kB,54
2.39%,257.7MiB / 1.941GiB,12.97%,1.42MB / 3.76MB,411MB / 24.6kB,54
2.75%,257.7MiB / 1.941GiB,12.97%,1.43MB / 3.79MB,411MB / 24.6kB,54
3.24%,257.7MiB / 1.941GiB,12.97%,1.44MB / 3.81MB,411MB / 24.6kB,54
2.70%,257.6MiB / 1.941GiB,12.96%,1.45MB / 3.83MB,411MB / 24.6kB,54
1.63%,257.7MiB / 1.941GiB,12.97%,1.45MB / 3.85MB,411MB / 24.6kB,54
2.48%,257.4MiB / 1.941GiB,12.95%,1.46MB / 3.87MB,412MB / 24.6kB,54
3.95%,257.4MiB / 1.941GiB,12.95%,1.47MB / 3.9MB,412MB / 24.6kB,54
12.68%,257.5MiB / 1.941GiB,12.96%,1.48MB / 3.92MB,412MB / 24.6kB,54
4.35%,257.4MiB / 1.941GiB,12.95%,1.49MB / 3.94MB,412MB / 24.6kB,54
3.04%,257.4MiB / 1.941GiB,12.95%,1.5MB / 3.97MB,412MB / 24.6kB,54
1.78%,257.4MiB / 1.941GiB,12.95%,1.5MB / 3.99MB,412MB / 24.6kB,54
4.54%,257.3MiB / 1.941GiB,12.95%,1.51MB / 4.02MB,412MB / 24.6kB,54
3.00%,257.3MiB / 1.941GiB,12.95%,1.52MB / 4.03MB,412MB / 24.6kB,54
3.82%,257.3MiB / 1.941GiB,12.95%,1.53MB / 4.05MB,412MB / 24.6kB,54
4.66%,257.4MiB / 1.941GiB,12.95%,1.54MB / 4.08MB,412MB / 24.6kB,54
1.65%,257.4MiB / 1.941GiB,12.95%,1.54MB / 4.1MB,412MB / 24.6kB,54
2.89%,257.1MiB / 1.941GiB,12.94%,1.55MB / 4.11MB,412MB / 24.6kB,54
2.20%,257.1MiB / 1.941GiB,12.94%,1.56MB / 4.14MB,412MB / 24.6kB,54
